user,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
em4nuelvt,0.0,0.0,0.0,0.0,0.024325089970840683,0.10225887671945211
EdmilsonOSJr,0.0,0.0415391441864089,0.0,0.0,0.0,0.017652819963996525
RamonGiovane,0.02987650396684002,0.005692591619561936,0.0,0.021682877868628558,0.00569276141807165,0.06705012545272161
Talita-Izabel,0.007121683494682975,0.033047298110679274,0.0,0.006767031713788992,0.0,0.011033972665855821
matheuslrd,0.005487579661241244,0.07203624304957436,0.004547766685148553,0.0,0.0,0.009944952929502192
taisadefante,0.0,0.11747237982675753,0.0,0.0,0.045868514406180755,0.0
leonardorifeli,0.004856283736490815,0.01687473248071379,0.0,0.09438923836917817,0.0012311572773251352,0.0037059929902899546
roytmanpiccoli,0.004975532917038778,0.0007037470367528802,0.001596832837822494,0.08009873991614772,0.00623125067414304,0.0
cuteman9969,0.0043282727051998935,0.0,0.06543440721078328,0.010711016038529472,0.007931724160101974,0.0
Pratikdate,0.02053646681608645,0.0,0.0,0.05798545253835341,0.0007301142247941005,0.0
keila-camara,0.0,0.005514697508928193,0.0,0.0,0.0803388346457219,0.0012600622554075033
extremecode716,0.0016182604303790079,0.0017464855443046284,0.0,0.03372504311357348,0.0005144733805437752,0.0
toshinestar,0.0,0.001990030820845679,0.0,0.02192760124852129,0.0,0.003393891108915385
hunnyUnicorn,0.0,0.0,0.0,0.010054140795560162,0.0,0.0
mehediislamripon,0.08054765574461148,0.0,0.0,0.021335074683543273,0.07137911753731024,0.0
BillZak,0.03824547847829673,0.0,0.050394699111318594,0.0,0.03194418041811956,0.002246499298659714
herialhanif,0.011897899746043335,0.0012225343513392892,0.04100904550113364,0.01689771712470245,0.0,0.0
supervoid0,0.01595441523905803,0.0,0.0,0.011467737071458872,0.0,0.0
justinm45,0.05183387552320642,0.0,0.0030676732574999943,0.030664773962121573,0.0125992274334902,0.0
ErtungaYusuf,0.0002694734743906598,0.0,0.0,0.011617071408166537,0.0063819834151401635,0.0
stanislav0412,0.026897745817851478,0.0,0.0,0.003956280572881047,0.0,0.0
Majumder99,0.0014539982778523583,0.0,0.05492853317657566,0.02447627848763103,0.0005952459602485375,0.0008626594069765783
GustavoBomfim,0.0,0.0,0.0,0.002959747199260283,0.0,0.06253682711698344
imvickykumar999,0.023545722686468092,0.0,0.031705587495923934,0.06794652028456469,0.00682959230527092,0.0005866150756653094
ProgramadorWebJavascriprt,0.013887873275390464,0.005766914937227032,0.0,0.0,0.0028508254830204227,0.05648097494986586
Natasha2121,0.0,0.0,0.0,0.0,0.0,0.0
mrlemoos,0.052133649394947405,0.001180301061013474,0.013972389693052392,0.011587396166565659,0.008365162525598645,0.00865003294084087
rtkktr,0.013115063864966199,0.0,0.0,0.01282756087338818,0.0006349426748160343,0.002289925521999562
